_id,error,mode,plug_exist,plug_mode,plug_pow,power_count,powerdata
ObjectId(5bbebf7324aa9a0e4ad42126),0,GET_POW," 0"," 1"," 1"," 1",2141
ObjectId(5bbebf7424aa9a0e4ad42127),0,GET_POW," 0"," 1"," 1"," 1",2140
ObjectId(5bbebf7424aa9a0e4ad42128),0,GET_POW," 0"," 1"," 1"," 1",2139
ObjectId(5bbebf7524aa9a0e4ad4212a),0,GET_POW," 0"," 1"," 1"," 1",2139
ObjectId(5bbebf7524aa9a0e4ad42129),0,GET_POW," 0"," 1"," 1"," 1",2140
ObjectId(5bbebf7624aa9a0e4ad4212b),0,GET_POW," 0"," 1"," 1"," 1",9696
ObjectId(5bbebf7624aa9a0e4ad4212c),0,GET_POW," 0"," 1"," 1"," 1",3468
ObjectId(5bbebf7724aa9a0e4ad4212d),0,GET_POW," 0"," 1"," 1"," 1",9687
ObjectId(5bbebf7724aa9a0e4ad4212e),0,GET_POW," 0"," 1"," 1"," 1",9701
ObjectId(5bbebf7824aa9a0e4ad42130),0,GET_POW," 0"," 1"," 1"," 1",9677
ObjectId(5bbebf7824aa9a0e4ad42131),0,GET_POW," 0"," 1"," 1"," 1",9677
ObjectId(5bbebf7824aa9a0e4ad4212f),0,GET_POW," 0"," 1"," 1"," 1",9682
ObjectId(5bbebf7924aa9a0e4ad42132),0,GET_POW," 0"," 1"," 1"," 1",9658
ObjectId(5bbebf7a24aa9a0e4ad42133),0,GET_POW," 0"," 1"," 1"," 1",9650
ObjectId(5bbebf7a24aa9a0e4ad42134),0,GET_POW," 0"," 1"," 1"," 1",9646
ObjectId(5bbebf7b24aa9a0e4ad42136),0,GET_POW," 0"," 1"," 1"," 1",9671
ObjectId(5bbebf7b24aa9a0e4ad42135),0,GET_POW," 0"," 1"," 1"," 1",9666
ObjectId(5bbebf7c24aa9a0e4ad42137),0,GET_POW," 0"," 1"," 1"," 1",6109
ObjectId(5bbebf7c24aa9a0e4ad42138),0,GET_POW," 0"," 1"," 1"," 1",2907
ObjectId(5bbebf7d24aa9a0e4ad42139),0,GET_POW," 0"," 1"," 1"," 1",2913
ObjectId(5bbebf7d24aa9a0e4ad4213a),0,GET_POW," 0"," 1"," 1"," 1",2912
